"Receipt_ID","Purchase_date","Store_Name","City","State","Region","Customer_Segment","Category","sub_category","Quantity","Unit_Price","Sales","Discount","Profit","Payment_Method"
"TXN-00002642","2024-12-19","QuickBuy","Pittsburgh","Pennsylvania","East","Home Office","Groceries","Dairy",9,694.74,6252.66,0.05,1084.19,"Online Payment"
"TXN-00004465","2025-05-04","ShopEase","Reno","Nevada","West","Home Office","Groceries","Snacks",8,177.82,1422.56,0.15,77.29,"Credit Card"
"TXN-00001338","2024-09-16","Urban Mart","Houston","Texas","Central","Consumer","Groceries","Snacks",10,903.45,9034.5,0.0,1819.69,"Cash"
"TXN-00003960","2025-03-26","Metro Store","Dallas","Texas","Central","Consumer","Clothing","Women",5,571.14,2855.7,0.1,600.64,"Online Payment"
"TXN-00000434","2024-07-10","ValueHub","Chicago","Illinois","Central","Home Office","Home & Kitchen","Decor",3,852.8,2558.4,0.0,316.84,"Bank Transfer"
"TXN-00001355","2024-09-17","Urban Mart","Springfield","Illinois","Central","Consumer","Groceries","Fruits",10,395.48,3954.8,0.1,684.65,"Bank Transfer"
"TXN-00002908","2025-01-06","Metro Store","Charlotte","North Carolina","South","Corporate","Home & Kitchen","Utensils",4,556.31,2225.24,0.1,436.58,"Cash"
"TXN-00002620","2024-12-17","Urban Mart","New York City","New York","East","Home Office","Clothing","Women",3,721.9,2165.7,0.15,334.27,"Credit Card"
"TXN-00004318","2025-04-22","QuickBuy","Pittsburgh","Pennsylvania","East","Home Office","Clothing","Men",10,181.44,1814.4,0.2,195.7,"Bank Transfer"
"TXN-00003601","2025-02-26","QuickBuy","Chicago","Illinois","Central","Home Office","Home & Kitchen","Utensils",10,499.16,4991.6,0.05,912.49,"Credit Card"
"TXN-00000158","2024-06-20","ValueHub","Chicago","Illinois","Central","Corporate","Electronics","Accessories",2,581.11,1162.22,0.0,91.14,"Online Payment"
"TXN-00000344","2024-07-04","Metro Store","Las Vegas","Nevada","West","Corporate","Electronics","Accessories",9,798.5,7186.5,0.1,1116.4,"Credit Card"
"TXN-00002252","2024-11-21","ValueHub","Spokane","Washington","West","Corporate","Electronics","Appliances",7,354.21,2479.47,0.1,240.65,"Online Payment"
"TXN-00004466","2025-05-04","ValueHub","Springfield","Illinois","Central","Consumer","Groceries","Dairy",5,809.28,4046.4,0.2,179.53,"Credit Card"
"TXN-00002281","2024-11-23","ShopEase","Philadelphia","Pennsylvania","East","Corporate","Home & Kitchen","Furniture",10,282.41,2824.1,0.1,134.3,"Cash"
"TXN-00000027","2024-06-11","ShopEase","Pittsburgh","Pennsylvania","East","Consumer","Groceries","Vegetables",4,485.95,1943.8,0.2,345.85,"Online Payment"
"TXN-00003695","2025-03-04","QuickBuy","Philadelphia","Pennsylvania","East","Corporate","Electronics","Phones",4,661.35,2645.4,0.05,231.64,"Bank Transfer"
"TXN-00001231","2024-09-07","Metro Store","Chicago","Illinois","Central","Corporate","Electronics","Phones",8,302.76,2422.08,0.2,187.43,"Bank Transfer"
"TXN-00000062","2024-06-14","Urban Mart","Springfield","Illinois","Central","Corporate","Home & Kitchen","Utensils",7,679.14,4753.98,0.2,709.58,"Bank Transfer"
"TXN-00002545","2024-12-12","ShopEase","Dallas","Texas","Central","Corporate","Groceries","Fruits",2,256.83,513.66,0.2,52.69,"Online Payment"
"TXN-00003423","2025-02-12","Metro Store","Pittsburgh","Pennsylvania","East","Corporate","Clothing","Kids",1,832.03,832.03,0.0,110.04,"Credit Card"
"TXN-00003684","2025-03-03","ShopEase","Springfield","Illinois","Central","Consumer","Groceries","Snacks",1,620.16,620.16,0.0,147.41,"Credit Card"
"TXN-00001961","2024-10-29","Urban Mart","Las Vegas","Nevada","West","Home Office","Clothing","Kids",7,657.08,4599.56,0.2,775.08,"Cash"
"TXN-00000499","2024-07-15","QuickBuy","Worcester","Massachusetts","East","Home Office","Clothing","Men",8,922.85,7382.8,0.1,1354.63,"Credit Card"
"TXN-00003203","2025-01-27","Urban Mart","Buffalo","New York","East","Corporate","Electronics","Accessories",6,995.97,5975.82,0.1,1296.81,"Bank Transfer"
"TXN-00002028","2024-11-04","Metro Store","Orlando","Florida","South","Home Office","Electronics","Phones",3,646.19,1938.57,0.0,152.71,"Bank Transfer"
"TXN-00004107","2025-04-07","Urban Mart","Spokane","Washington","West","Consumer","Home & Kitchen","Furniture",2,572.2,1144.4,0.1,211.6,"Credit Card"
"TXN-00001223","2024-09-06","Urban Mart","Philadelphia","Pennsylvania","East","Home Office","Groceries","Snacks",5,153.3,766.5,0.1,159.3,"Bank Transfer"
"TXN-00002628","2024-12-18","Urban Mart","Savannah","Georgia","South","Home Office","Groceries","Snacks",1,385.66,385.66,0.15,24.34,"Cash"
"TXN-00000016","2024-06-10","Urban Mart","Houston","Texas","Central","Corporate","Electronics","Accessories",2,841.5,1683.0,0.1,271.98,"Online Payment"
"TXN-00002402","2024-12-02","ShopEase","Seattle","Washington","West","Home Office","Clothing","Kids",2,631.36,1262.72,0.1,167.4,"Bank Transfer"
"TXN-00000435","2024-07-10","Metro Store","New York City","New York","East","Consumer","Home & Kitchen","Decor",8,389.99,3119.92,0.2,445.98,"Cash"
"TXN-00002253","2024-11-21","ShopEase","Miami","Florida","South","Consumer","Home & Kitchen","Decor",1,406.7,406.7,0.05,81.69,"Online Payment"
"TXN-00001553","2024-10-02","Urban Mart","Philadelphia","Pennsylvania","East","Consumer","Home & Kitchen","Decor",8,654.52,5236.16,0.15,1030.06,"Cash"
"TXN-00000251","2024-06-27","Urban Mart","New York City","New York","East","Corporate","Groceries","Vegetables",8,612.0,4896.0,0.2,245.94,"Credit Card"
"TXN-00004403","2025-04-29","Urban Mart","Charlotte","North Carolina","South","Consumer","Groceries","Fruits",6,811.9,4871.4,0.15,475.55,"Bank Transfer"
